id;fiscal_year;month;category_id;actual_amount;notes;recorded_by;created_at;updated_at;gst_amount;status;approved_by;approved_at
a296d7ce-0945-4301-a2ef-fbe84f00f3f9;FY25-26;4;dc8269b4-585e-4da7-ab2a-107f5da9b9c8;1;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:43.127123+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
73cd95ed-007c-494f-b215-b382586ad342;FY25-26;4;a3315a5b-db79-4d47-a54b-bf7e0514e2c5;77700;"Rental for Indus Tower -IN-1317456 - Rent for the month April 2025 /Rental Charges for Indus Tower -IN-1310901 - Rent for the month of April 2025.

";ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-11-24 06:53:27.743361+00;2025-11-30 10:26:57.147802+00;13986;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 10:26:56.955+00
e1c8ac84-2860-4c18-99ab-a532000dd408;FY25-26;4;f646419f-6525-4621-bf31-f5aaf2ca255f;1;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:44.186194+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
b2c60fd4-5f31-46e6-8cff-71fe3a395fc9;FY25-26;4;73ac1c32-b4ea-452e-9ee0-608bd7354365;1;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:46.070309+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
031108bd-3f70-4a37-9c86-d2deb74906da;FY25-26;4;cff0057b-c78d-433e-90a9-2f18c96b67cd;13642;"New Access Card
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-24 06:53:27.743361+00;2025-12-04 11:25:30.0789+00;2455.56;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-04 11:25:29.858+00
452f0b73-cb20-4471-afd6-1083b91522d8;FY25-26;4;a393af50-0d16-4b4e-8d59-564163f402bd;1;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:46.984134+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
a61a9289-d5b1-4ae8-9a84-9af800c03e62;FY25-26;4;8e8d47fb-ed4e-49cc-81d6-9c84a589e138;1;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:47.444564+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
ed43b2a1-f0d9-4119-a29d-482be07bf333;FY25-26;4;4af2b565-d045-4dcf-a742-95e78bd008aa;0.97;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:47.898168+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
db20dce7-6e45-414c-b57b-c2ddec20380b;FY25-26;4;1e15bdad-17c4-4d69-a68b-40b824d937ab;0.98;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:48.377287+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
80f5372c-9cc4-4a89-b8d7-6dc3e3c8eedb;FY25-26;4;d396d89a-cd1c-4daa-9331-29341da3c92b;0.98;;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:53:27.743361+00;2025-11-28 00:44:48.897839+00;0;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;
0722d754-9bfd-430f-9037-ce7341599d23;FY25-26;11;0eef1f20-e56f-41a7-94b2-353a142b8ca4;28350.5;HDFC ATM - RENTAL FOR THE MONTH OF JUNE 2025	;74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:38:18.673153+00;2025-11-30 10:38:26.249837+00;5103.09;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 10:38:26.082+00
d417daab-4354-41b2-942c-84bc0986a9df;FY25-26;6;a3315a5b-db79-4d47-a54b-bf7e0514e2c5;77700;"Rental Charges for Indus Tower -IN-1310901 - Rent for the month of May 2025 / Rental for Indus Tower -IN-1317456 - Rent for the month May 2025 

";ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-11-30 10:28:48.386653+00;2025-11-30 10:38:28.982234+00;13986;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 10:38:28.822+00
b3f82331-579c-4bc3-b465-13596dd5f29b;FY25-26;5;a3315a5b-db79-4d47-a54b-bf7e0514e2c5;158672.46;"1310901 - Rent for the month
 of April 2024 to March 2025";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 06:06:16.12535+00;2025-11-30 09:10:13.410815+00;0;rejected;;
706f30f3-19ec-4b2d-8b52-38bcb9fbcd42;FY25-26;10;a3315a5b-db79-4d47-a54b-bf7e0514e2c5;444000;" Rent for the month
 of April 2024 to March 2025";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 06:04:18.710032+00;2025-11-30 09:10:16.952271+00;0;rejected;;
8a541010-c2e2-44fa-b591-3fc65fb534f7;FY25-26;11;f646419f-6525-4621-bf31-f5aaf2ca255f;3224;"EB CHARGES FOR THE PERIOD - EB CHARGES FOR THE OCTOBER 2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:56:59.763012+00;2025-11-30 15:56:05.302055+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 15:56:05.053+00
1c981be3-af62-4f53-b4e6-e22812446ee1;FY25-26;6;0eef1f20-e56f-41a7-94b2-353a142b8ca4;28350.5;"HDFC ATM - RENTAL FOR THE MONTH OF JUNE 2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:46:35.349288+00;2025-11-30 16:08:12.66326+00;5103.09;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
359a815d-af18-4b37-84e0-54ebd8e8ffff;FY25-26;7;0eef1f20-e56f-41a7-94b2-353a142b8ca4;28350.5;"HDFC ATM - RENTAL FOR THE MONTH OF JULY 2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:48:13.289515+00;2025-11-30 16:08:12.66326+00;5103.09;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
443ef58d-af7e-4961-a5ec-2e0ce395754a;FY25-26;10;0eef1f20-e56f-41a7-94b2-353a142b8ca4;28350.5;"""HDFC ATM - RENTAL FOR THE MONTH OF SEPTEMBER2025	""
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:52:00.735395+00;2025-11-30 16:08:12.66326+00;5103.09;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
59214611-58e4-4271-9f6d-652b987fa3a1;FY25-26;5;0eef1f20-e56f-41a7-94b2-353a142b8ca4;28350.5;"HDFC ATM - RENTAL FOR THE MONTH OF MAY 2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:40:04.682418+00;2025-11-30 16:08:12.66326+00;5103.09;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
7d5b8f26-ebb7-49fa-9c32-85f1095c8c95;FY25-26;10;f646419f-6525-4621-bf31-f5aaf2ca255f;3101;"EB CHARGES FOR THE PERIOD - EB CHARGES FOR THE SEPTEMBER 2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:54:03.189671+00;2025-11-30 16:08:12.66326+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
b29be394-fcf2-4430-90ad-a9e56fdb300d;FY25-26;7;f646419f-6525-4621-bf31-f5aaf2ca255f;3216;"EB CHARGES FOR THE PERIOD - EB CHARGES FOR THE MONTH OF JULY2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:44:30.720986+00;2025-11-30 16:08:12.66326+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
d9cff1b9-9e40-4c35-97ef-ed6abdd00dfb;FY25-26;9;f646419f-6525-4621-bf31-f5aaf2ca255f;2895;"EB CHARGES FOR THE PERIOD - EB CHARGES FOR THE MONTH AUGUST2025
";74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-30 10:50:52.34824+00;2025-11-30 16:08:12.66326+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-30 16:08:12.391+00
9b6670c6-ac0f-4fae-b8c9-d73f70658814;FY25-26;4;2a75451b-6e96-4314-8bd3-54a7347ed5db;190016;Stall charges for the month April 2025;74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-24 06:53:27.743361+00;2025-12-04 07:56:24.150016+00;34202.88;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-04 07:56:23.946+00
bc681604-f3cc-4f53-912a-f64caa1e2d13;FY25-26;4;c01006bc-ede8-44ee-8222-c894f91faa2d;16950;Platinum hall booking for the month of  April 2025;74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-24 06:53:27.743361+00;2025-12-04 07:56:24.150016+00;3051;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-04 07:56:23.946+00
013818dc-f331-46c6-99f6-609c101699d2;FY25-26;4;144110e8-fb7f-4ec6-ae94-f807a8109dd7;45140;Rs.11,285/- x 4 Nos;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-02 13:07:01.528121+00;2025-12-02 14:34:52.663214+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-02 14:34:52.418+00
2a42419d-60db-4bbd-89d7-2cf7ee992d60;FY25-26;9;78dd1bc7-def5-429e-b9e1-854fbf8a7251;8474.5;"Tennis - FOR SPORT COACH-Non Members-G.Venkatesh

";74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-01 12:23:16.109221+00;2025-12-02 13:06:26.69816+00;1525.41;rejected;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-01 16:15:36.681+00
e2947bdf-44b2-4268-89be-9dab3bf5cb45;FY25-26;4;7b63f7a7-da1d-4ff5-aac2-a12318e4257f;11860;Silver hall booking for the month of  April 2025;74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-24 06:53:27.743361+00;2025-12-04 07:56:24.150016+00;2134.8;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-04 07:56:23.946+00
e570dddc-c6d6-4428-ba83-b4985c419cb1;FY25-26;4;ee296e81-b9ce-48f3-8eff-3b25a474b0e3;197571;ICICI Bank Fixed deposit interest;74f02ef8-5025-4907-b6ed-59b106775be1;2025-11-24 06:53:27.743361+00;2025-12-04 11:06:48.255246+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-04 11:06:48.018+00
08a29e15-7f65-4fef-9eb2-84ab2db5ad09;FY25-26;7;144110e8-fb7f-4ec6-ae94-f807a8109dd7;1104085.5;FOR THE MONTH OF JULY-2025 - WITHOUT GST;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-03 04:14:45.777671+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
184000d4-f5fe-4d9d-88e0-e215cdd05c0a;FY25-26;8;144110e8-fb7f-4ec6-ae94-f807a8109dd7;186760.5;FOR THE MONTH OF AUGUST-2025 - WITHOUT GST;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-03 04:17:31.82168+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
376911e8-6087-491e-8416-f187a47234d6;FY25-26;5;144110e8-fb7f-4ec6-ae94-f807a8109dd7;1242828.08;FOR THE MONTH OF MAY - 2025 - WITHOUT GST;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-02 13:24:25.167762+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
3b5e60e8-9d04-4d5d-ac9a-7a26f7b5a256;FY25-26;9;144110e8-fb7f-4ec6-ae94-f807a8109dd7;103680;FOR THE MONTH OF SEP-2025 - WITHOUT GST;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-03 04:18:51.333127+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
40e01e98-d83f-4550-8df2-dc5fed6bec88;FY25-26;5;78dd1bc7-def5-429e-b9e1-854fbf8a7251;42795;Sport income received;74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-02 10:29:19.10174+00;2025-12-03 12:53:04.339308+00;7703.1;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
41d0af78-3db2-4ed1-8d6f-310791ee3de2;FY25-26;4;61298f97-a72f-4a84-951d-10f4d9886a30;97584.74576;CAM Amount received;74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-03 05:59:44.494968+00;2025-12-03 12:53:04.339308+00;17565.25;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
4c92f381-3550-4c47-bc9b-65f451ece28e;FY25-26;6;78dd1bc7-def5-429e-b9e1-854fbf8a7251;62168.29;"Sport income received













";74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-01 12:21:24.833976+00;2025-12-03 12:53:04.339308+00;11190.29;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
66ef8030-e482-48f1-934d-6f8c48c76564;FY25-26;10;78dd1bc7-def5-429e-b9e1-854fbf8a7251;28404;Sport income received;74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-01 12:25:04.499773+00;2025-12-03 12:53:04.339308+00;5112.72;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
88a0aea4-f860-4feb-81b5-1efa433bd98c;FY25-26;7;61298f97-a72f-4a84-951d-10f4d9886a30;1553065.127;CAM amount received;74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-03 05:24:45.01563+00;2025-12-03 12:53:04.339308+00;279551.72;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
9c563a99-1b4a-40e2-b3b3-9275d150c01e;FY25-26;10;144110e8-fb7f-4ec6-ae94-f807a8109dd7;1310072.15;FOR THE MONTH OF OCT-2025 - WITHOUT GST;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-03 04:19:17.445722+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
c0eaf3af-fddc-47ad-89ec-32ee4cb7cebb;FY25-26;6;144110e8-fb7f-4ec6-ae94-f807a8109dd7;5106702.75;FOR THE MONTH OF MAY-2025;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;2025-12-03 04:14:14.363204+00;2025-12-03 12:53:04.339308+00;0;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
c958dada-2394-475c-b995-226a5c361058;FY25-26;10;61298f97-a72f-4a84-951d-10f4d9886a30;1365027.356;CAM amount received;74f02ef8-5025-4907-b6ed-59b106775be1;2025-12-03 06:00:43.088272+00;2025-12-03 12:53:04.339308+00;245704.92;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-12-03 12:53:04.214+00
