id;category_name;subcategory_name;display_order;is_active;created_at;updated_at;parent_category_id
61298f97-a72f-4a84-951d-10f4d9886a30;CAM with GST;;1;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:01:20.399249+00;
144110e8-fb7f-4ec6-ae94-f807a8109dd7;CAM without GST;;2;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:01:20.399249+00;
cff0057b-c78d-433e-90a9-2f18c96b67cd;Others;Miscellaneous Income;19;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:01:20.399249+00;
6d932676-313d-4d27-8fab-74d6c22ec3a3;Interest from Banks;;11;true;2025-11-24 04:39:25.288056+00;2025-11-24 04:39:25.288056+00;
b1bb2d02-0fca-4619-9c16-82166357f3b5;Income from Halls;;16;true;2025-11-24 04:39:25.288056+00;2025-11-24 04:39:25.288056+00;
c1983799-4eef-40b5-861b-3d621b94891e;Commercial LetOuts;;3;true;2025-11-24 04:39:25.288056+00;2025-11-24 04:39:25.288056+00;
a393af50-0d16-4b4e-8d59-564163f402bd;Interest Earned - Savings Account;INTEREST INCOME - IOB;11;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;6d932676-313d-4d27-8fab-74d6c22ec3a3
ee296e81-b9ce-48f3-8eff-3b25a474b0e3;Interest Earned - Savings Account;INTEREST INCOME - ICICI;12;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;6d932676-313d-4d27-8fab-74d6c22ec3a3
73ac1c32-b4ea-452e-9ee0-608bd7354365;Interest Earned - Savings Account;Corpus Income;13;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;6d932676-313d-4d27-8fab-74d6c22ec3a3
fbb0d811-e681-4063-8cd6-fcf7c41c29b3;Rental from Halls;Gold Hall;16;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;b1bb2d02-0fca-4619-9c16-82166357f3b5
7b63f7a7-da1d-4ff5-aac2-a12318e4257f;Rental from Halls;Silver Hall;17;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;b1bb2d02-0fca-4619-9c16-82166357f3b5
c01006bc-ede8-44ee-8222-c894f91faa2d;Rental from Halls;Platinum Hall;18;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;b1bb2d02-0fca-4619-9c16-82166357f3b5
a3315a5b-db79-4d47-a54b-bf7e0514e2c5;Commercial Letout Income;INDUS TOWER - RENTAL INCOME;3;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
dc8269b4-585e-4da7-ab2a-107f5da9b9c8;Commercial Letout Income;INDUS TOWER - EB INCOME;4;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
0eef1f20-e56f-41a7-94b2-353a142b8ca4;Commercial Letout Income;HDFC TOWER - RENTAL INCOME;5;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
f646419f-6525-4621-bf31-f5aaf2ca255f;Commercial Letout Income;HDFC TOWER - EB INCOME;6;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
d396d89a-cd1c-4daa-9331-29341da3c92b;Commercial Letout Income;AAVIN BOOTH - RENTAL INCOME;7;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
1e15bdad-17c4-4d69-a68b-40b824d937ab;Commercial Letout Income;AAVIN BOOTH - EB INCOME;8;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
4af2b565-d045-4dcf-a742-95e78bd008aa;Commercial Letout Income;VEDHIKA FOODS - RENTAL INCOME;9;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
8e8d47fb-ed4e-49cc-81d6-9c84a589e138;Commercial Letout Income;VEDHIKA FOODS - EB INCOME;10;true;2025-11-24 04:01:20.399249+00;2025-11-24 04:39:25.288056+00;c1983799-4eef-40b5-861b-3d621b94891e
78dd1bc7-def5-429e-b9e1-854fbf8a7251;Sports and Training;;14;true;2025-11-24 04:01:20.399249+00;2025-11-24 11:52:22.366712+00;
2a75451b-6e96-4314-8bd3-54a7347ed5db;Events and Activities (Stalls and camps);;15;true;2025-11-24 04:01:20.399249+00;2025-11-24 11:52:22.366712+00;